,Dist1,Dist2,Pop,diff,num0,num1,num2
2,-0.6365235044173491,0.015696372114428918,0.8595884137174165,-0.59,24,362,614
4,-2.0212548201949705,-0.334077365808097,0.9533241281124304,-0.862,3,132,865
6,-1.5469055532292402,-0.2026463246291819,1.3211581921293856,-0.905,1,93,906
8,-0.4693052847058996,0.6755540851223808,1.3181515541801367,-0.74,8,244,748
11,0.8637172916848387,-0.12209157484767426,1.0459382556276653,-0.192,124,560,316
13,0.07619958783723642,-0.5664459304649568,2.390960515463033,-0.896,1,102,897
22,-1.1426312890227635,0.21188338677770108,2.0306036208387996,-0.939,1,59,940
23,-0.785435211763197,0.4620597371620487,0.7047206243171089,-0.5429999999999999,34,389,577
24,0.5235079678938094,-0.9262543135302259,0.7042282254621743,-0.10900000000000001,162,567,271
25,0.2269625418708953,-1.1526591092509524,2.0078429507780005,-0.825,4,167,829
26,0.0395126866933667,0.46439232505089606,0.6319794458091295,-0.24000000000000002,99,562,339
30,-0.3999645806965225,-1.0278505586819058,0.07984231300862901,-0.087,153,607,240
35,-0.781105283625392,-0.4680176663374855,1.3634815124261457,-0.798,3,196,801
36,-1.2811082751440426,0.8754755042743244,1.2245743551261743,-0.826,3,168,829
43,0.2395559950038969,0.15122662929444983,0.6786296737098565,-0.20600000000000002,108,578,314
48,-0.524336102632456,0.7009077309156047,1.1768124501049289,-0.6849999999999999,12,291,697
56,0.9881375825933089,-0.07260831396267549,0.9524783451091219,-0.10500000000000001,155,585,260
66,-1.0515389375700381,-0.31956139984023146,0.2883768477152654,-0.429,49,473,478
68,-0.7914888094778855,-0.5246273459284702,1.0576331832046142,-0.657,18,307,675
71,1.4599274815852936,1.0154054578125205,2.10778515279337,-0.5459999999999999,30,394,576
72,-0.6755214784366882,0.4402663916687296,0.7491846009241975,-0.566,27,380,593
76,0.2471117161577363,0.12117180533154093,1.126385822137273,-0.464,37,462,501
77,-0.1570991368466517,-0.7404690227807179,0.29898393554204666,-0.13400000000000004,143,580,277
79,0.3993254369795763,0.6684881692058056,2.7638440798495663,-0.919,1,79,920
82,0.39137144842193117,-0.8810470922015694,1.181944105999232,-0.419,54,473,473
89,-0.48575274428280835,0.3876744557775985,1.8936798255518426,-0.874,2,122,876
101,-1.7421376305949654,-0.09443480774144415,2.6377912107038637,-0.994,0,6,994
102,0.5927584465506688,0.170296895326288,1.4311837522545638,-0.451,46,457,497
107,0.7138407711950433,0.13337096219412198,0.955557932627455,-0.16899999999999998,131,569,300
112,-0.022460873511426515,0.13139536722591508,1.3829972488529256,-0.64,18,324,658
114,-0.17429815275208735,-1.0713686714550896,0.5850842795017246,-0.263,93,551,356
116,-0.9807243575005858,-0.42782610997202053,0.4255305913978583,-0.47300000000000003,43,441,516
117,-0.36015657086902797,-0.45824038933749284,1.498569955138537,-0.744,6,244,750
119,1.2829332468745234,0.2703379257393719,2.0978007807716916,-0.591,27,355,618
120,1.0786735513204067,0.34075268512976414,1.0031403620449315,-0.07,182,566,252
131,-1.120520993992725,0.04826420692565666,0.5289444088560465,-0.569,25,381,594
133,-0.22663229367683593,-0.923830720176923,1.9321781695813465,-0.85,3,144,853
134,-1.2700634783862885,-0.19547241269675866,0.35583899747282033,-0.512,32,424,544
136,0.43880126303439065,-0.961602240881236,1.0877137365241412,-0.383,77,463,460
